symbol,security_id,LotSize,secondary_id,underlying
RHETAN,759062,1.0,,NSE_EQ
TATACAP,759265,1.0,,NSE_EQ
PACEDIGITK,759342,1.0,,NSE_EQ
PATELRMART,759439,1.0,,NSE_EQ
VIKRAMSOLR,759453,1.0,,NSE_EQ
LENSKART,759605,1.0,,NSE_EQ
PWL,759723,1.0,,NSE_EQ
EMMVEE,759728,1.0,,NSE_EQ
TMCV,759782,1.0,,NSE_EQ
EUROPRATIK,759797,1.0,,NSE_EQ
GROWW,759806,1.0,,NSE_EQ
PINELABS,759820,1.0,,NSE_EQ
SOLARWORLD,759929,1.0,,NSE_EQ
EXCELSOFT,760007,1.0,,NSE_EQ
FABTECH,760125,1.0,,NSE_EQ
VIDYAWIRES,760224,1.0,,NSE_EQ
MEESHO,760229,1.0,,NSE_EQ
AEQUS,760234,1.0,,NSE_EQ
LEMERITE,760300,1.0,,NSE_EQ
PARKHOSPS,760351,1.0,,NSE_EQ
BHARATCOAL,760726,1.0,,NSE_EQ
KWIL,760946,1.0,,NSE_EQ
CMPDI,761581,1.0,,NSE_EQ
DECNGOLD,762638,1.0,,NSE_EQ
SEIL,762889,1.0,,NSE_EQ
SIKA,762914,1.0,,NSE_EQ
WELSPLSOL,762971,1.0,,NSE_EQ
KISSHT,763294,1.0,,NSE_EQ
RAMCOSYS,7851,1.0,,NSE_EQ
SILVERIETF,7942,1.0,,NSE_EQ
SILVER,8003,1.0,,NSE_EQ
KTKBANK,8054,1.0,,NSE_EQ
SILVERBEES,8080,1.0,,NSE_EQ
AWL,8110,1.0,,NSE_EQ
DCW,817,1.0,,NSE_EQ
MIDCAPETF,8413,1.0,,NSE_EQ
MID150BEES,8506,1.0,,NSE_EQ
NLCINDIA,8585,1.0,,NSE_EQ
MSUMI,8596,1.0,,NSE_EQ
LOWVOL1,8632,1.0,,NSE_EQ
CHOICEIN,8866,1.0,,NSE_EQ
E2E,8937,1.0,,NSE_EQ
HARDWYN,8962,1.0,,NSE_EQ
ROTO,9049,1.0,,NSE_EQ
EQUITASBNK,913,1.0,,NSE_EQ
STLTECH,9313,1.0,,NSE_EQ
IOB,9348,1.0,,NSE_EQ
TRIDENT,9685,1.0,,NSE_EQ
PARADEEP,9741,1.0,,NSE_EQ
