symbol,year,month,quarter,open,high,low,close,percent_change,volume,trading_days,avg_daily_volume,up_days,down_days,unchanged_days,range,volatility,avg_true_range,avg_daily_range,highest_day,lowest_day,high_to_ltp_pct,low_to_ltp_pct
GODREJCP,2026,6,,1036.3,1056.8,975.4,1010.0,-2.5378751326835816,23268046.0,21,1108002.1904761905,9,11,0,81.39999999999998,0.08026746430131053,23.561904761904763,23.10476190476191,2026-06-15T00:00:00+05:30,2026-06-03T00:00:00+05:30,,
LLOYDSENT,2026,6,,72.1,80.24,63.67,73.82,2.385575589459083,93005649.0,21,4428840.428571428,10,10,0,16.569999999999993,0.23326138252802048,3.528095238095239,3.40047619047619,2026-06-22T00:00:00+05:30,2026-06-08T00:00:00+05:30,-8.388491152235572,13.994326624341483
MMTC,2026,6,,65.4,78.35,62.87,68.05,4.051987767584085,386564244.0,21,18407821.14285714,10,10,0,15.479999999999997,0.22359479461853796,3.5690476190476192,3.4780952380952384,2026-06-17T00:00:00+05:30,2026-06-02T00:00:00+05:30,-20.724191063174093,3.1278890600924627
MOM30IETF,2026,6,,31.31,32.52,29.97,31.47,0.5110188438198663,30649342.0,21,1459492.4761904762,11,9,0,2.5500000000000043,0.08197348681994931,0.547142857142857,0.5047619047619045,2026-06-25T00:00:00+05:30,2026-06-08T00:00:00+05:30,-5.721716514954491,2.568270481144352
FCL,2026,6,,40.35,47.18,36.66,38.8,-3.8413878562577555,391244639.0,21,18630697.095238097,10,10,0,10.520000000000003,0.2547773638869349,2.9576190476190485,2.813809523809525,2026-06-23T00:00:00+05:30,2026-06-08T00:00:00+05:30,-28.555858310626693,0.10899182561309605
HDFCAMC,2026,6,,2687.5,2735.0,2380.8,2653.2,-1.2762790697674486,20056585.0,21,955075.4761904762,9,11,0,354.1999999999998,0.13695542900070146,74.33809523809524,69.51428571428568,2026-06-18T00:00:00+05:30,2026-06-12T00:00:00+05:30,,
ITCHOTELS,2026,6,,155.49,184.2,148.45,179.99,15.756640298411472,97454245.0,21,4640678.333333333,12,8,0,35.75,0.2214281711493029,5.1223809523809525,4.863809523809522,2026-06-23T00:00:00+05:30,2026-06-11T00:00:00+05:30,1.249128826462238,20.414946657374156
GREAVESCOT,2026,6,,181.69,222.9,175.4,219.98,21.07435742198249,50315958.0,21,2395998.0,13,7,0,47.5,0.24436730304240353,9.127142857142857,8.803809523809523,2026-06-30T00:00:00+05:30,2026-06-11T00:00:00+05:30,-0.8141112618724611,20.669380370872904
SCI,2026,6,,292.95,330.0,283.6,305.3,4.215736473800997,143622366.0,21,6839160.285714285,10,10,0,46.39999999999998,0.1521489635788733,12.4595238095238,11.964285714285706,2026-06-24T00:00:00+05:30,2026-06-02T00:00:00+05:30,-14.167099117799683,1.8854869399757785
PVTBANIETF,2026,6,,26.91,28.93,25.67,28.24,4.942400594574501,262507699.0,21,12500366.61904762,13,7,0,3.259999999999998,0.11852082684117578,0.5099999999999999,0.5047619047619046,2026-06-25T00:00:00+05:30,2026-06-09T00:00:00+05:30,-1.0831586303284373,10.30747728860936
