symbol,year,month,quarter,open,high,low,close,percent_change,volume,trading_days,avg_daily_volume,up_days,down_days,unchanged_days,range,volatility,avg_true_range,avg_daily_range,highest_day,lowest_day,vpoc,vah,val,high_to_ltp_pct,low_to_ltp_pct
BANKBARODA,2026,6,,270.4,287.2,258.0,272.4,0.7396449704142012,300211083.0,21,14295765.857142856,10,10,0,29.19999999999999,0.10675394538696562,7.426190476190473,7.142857142857143,2026-06-23T00:00:00+05:30,2026-06-08T00:00:00+05:30,268.658,276.104,261.212,-17.41618969746525,-5.478331970564189
VEDPOWER,2026,6,,41.8,45.23,39.0,40.28,-3.6363636363636274,627510300.0,11,57046390.90909091,4,6,0,6.229999999999997,0.14921830771240685,2.7799999999999994,2.6936363636363634,2026-06-23T00:00:00+05:30,2026-06-16T00:00:00+05:30,41.52315,42.9872,39.9345,-9.834871296745987,5.293831957260806
NIITLTD,2026,6,,67.9,110.0,67.56,100.62,48.18851251840942,126758870.0,21,6036136.666666667,11,9,0,42.44,0.44487039338714257,7.623333333333332,7.480952380952379,2026-06-17T00:00:00+05:30,2026-06-01T00:00:00+05:30,92.38740000000001,106.18039999999999,86.2336,-10.397430750702528,32.19590525893216
BANKNIFTY,2026,6,,54403.85,58706.05,53027.15,57542.9,5.769904152003954,7513936403.0,21,357806495.38095236,14,6,0,5678.9000000000015,0.10096715861708652,782.4523809523806,722.1166666666662,2026-06-25T00:00:00+05:30,2026-06-03T00:00:00+05:30,57655.4535,58706.05,54844.398,-2.538930648382743,7.380120850723411
CGCL,2026,6,,203.42,231.36,195.09,227.66,11.916232425523553,89998888.0,21,4285661.333333333,13,7,0,36.27000000000001,0.17233054739785789,6.917142857142856,6.812380952380953,2026-06-30T00:00:00+05:30,2026-06-02T00:00:00+05:30,218.48415,231.36,208.1472,8.423052564914492,22.779449018366048
DALBHARAT,2026,6,,1748.3,1773.3,1605.0,1700.6,-2.728364697134362,6199709.0,21,295224.2380952381,8,12,0,168.29999999999995,0.09900360517329762,41.32857142857142,39.52857142857143,2026-06-01T00:00:00+05:30,2026-06-11T00:00:00+05:30,1715.2365,1744.6889999999999,1665.588,-1.7792573035642543,7.8803879928829685
UJJIVANSFB,2026,6,,54.39,59.58,52.03,59.05,8.567751424894276,219317260.0,21,10443679.047619049,11,9,0,7.549999999999997,0.13623474823852888,1.7433333333333347,1.6823809523809534,2026-06-30T00:00:00+05:30,2026-06-08T00:00:00+05:30,53.728750000000005,57.013,52.03,4.793863854266539,16.858421220837325
JSWSTEEL,2026,6,,1279.5,1320.2,1221.5,1226.4,-4.1500586166471205,30481523.0,21,1451501.0952380951,9,11,0,98.70000000000005,0.07743924081373411,26.028571428571468,25.180952380952423,2026-06-15T00:00:00+05:30,2026-06-30T00:00:00+05:30,1290.0965,1314.278,1254.071,-7.701093163648237,0.35079131995431184
PATELRMART,2026,6,,182.51,228.69,177.2,216.05,18.3770752287546,6414783.0,21,305465.85714285716,11,9,0,51.49000000000001,0.24742742206753576,11.487142857142855,11.334761904761901,2026-06-16T00:00:00+05:30,2026-06-01T00:00:00+05:30,216.07495,222.5112,196.2513,-3.8320090805902374,19.54597048808173
OLAELEC,2026,6,,41.87,49.05,38.08,43.76,4.513971817530453,4076295724.0,21,194109320.19047618,8,12,0,10.969999999999999,0.25278993975705305,2.6776190476190473,2.6619047619047613,2026-06-09T00:00:00+05:30,2026-06-02T00:00:00+05:30,43.510149999999996,46.855999999999995,41.809799999999996,-21.4409507303788,5.719237435008671
TMB,2026,6,,692.0,798.25,686.35,733.45,5.9898843930635906,7552597.0,21,359647.4761904762,8,11,1,111.89999999999998,0.14775203010497123,28.25000000000001,27.669047619047628,2026-06-18T00:00:00+05:30,2026-06-01T00:00:00+05:30,746.2165,765.799,686.35,-3.7766510660426356,10.770930837233491
MSPL,2026,6,,44.85,46.12,39.5,40.66,-9.342251950947613,89971190.0,21,4284342.380952381,9,11,0,6.619999999999997,0.15906542483809694,1.8566666666666674,1.8047619047619055,2026-06-22T00:00:00+05:30,2026-06-11T00:00:00+05:30,41.7839,42.8762,40.2944,-17.293997965411997,-0.45778229908443474
INDIGO,2026,6,,4525.0,5464.9,4350.0,5368.4,18.638674033149165,29363972.0,21,1398284.380952381,11,9,0,1114.8999999999996,0.23178495871254004,136.47619047619057,121.4047619047619,2026-06-25T00:00:00+05:30,2026-06-08T00:00:00+05:30,5314.388499999999,5464.9,4617.576,-4.501386365809344,16.818051438952097
JSWENERGY,2026,6,,598.9,608.0,548.3,583.15,-2.6298213391217233,58176659.0,21,2770317.095238095,9,11,0,59.700000000000045,0.10400481158097775,17.130952380952387,16.952380952380963,2026-06-01T00:00:00+05:30,2026-06-11T00:00:00+05:30,575.4635,586.508,565.6129999999999,-13.975067953885079,-2.783766051176288
AVANTEL,2026,6,,177.51,184.9,155.52,179.12,0.906991155427871,44045995.0,21,2097428.3333333335,11,9,0,29.379999999999995,0.17147955241552204,7.836190476190479,7.501904761904763,2026-06-18T00:00:00+05:30,2026-06-11T00:00:00+05:30,175.64530000000002,181.0806,169.03480000000002,-2.8307658083532634,13.50870363161114
ULTRACEMCO,2026,6,,11507.0,11674.0,10706.0,11253.0,-2.2073520465803425,7022993.0,21,334428.2380952381,7,13,0,968.0,0.08643959688735807,212.47619047619048,202.61904761904762,2026-06-25T00:00:00+05:30,2026-06-11T00:00:00+05:30,11369.08,11548.16,11015.76,-1.3016313779937523,7.098229781325928
