time,ltp,gammaFlip,imbalance,microprice,spread,flow,dS,IV,callSkew,putSkew,netGEX,callGEX,putGEX,I1,I2,I3
1778046728667,24099.65,24100,-0.6666666666666666,24177.249348958332,3.30078125,-0.020627142925629973,0.27806131776071563,15.438246725483864,0.01971674020177792,-0.09134965204091207,23624.378699999997,40952.26070000002,-17327.882000000005,-0.0331800976540158,-0.002278026976123168,-0.0016314504058103894
1778046743998,24100.65,24100,0,24178.5,5,-0.02157175935850404,0.083071937267942,15.438246725483864,0.01971674020177792,-0.09134965204091207,23624.378699999997,40952.26070000002,-17327.882000000005,-0.05800875622936909,-0.0013439792259380971,-0.0014425395816341524
1778046759194,24099.4,24100,0.5,24177.05029296875,1.400390625,-0.0019034785379092745,0.21286996447774492,15.433693312751178,0.02436678349497108,-0.08894513029186833,24315.157100000004,41512.38650000002,-17197.2294,-0.06559991233032005,0.007982470510252426,-0.0005661846105231297
1778046775921,24096.95,24100,0.6666666666666666,24172.000325520832,2.400390625,-0.009599930101705652,0.15554333249507912,15.433693312751178,0.02436678349497108,-0.08894513029186833,24315.157100000004,41512.38650000002,-17197.2294,-0.03128304297698282,0.004794419083747804,-0.0022893004921184634
1778046790926,24093.9,24100,0.3333333333333333,24163.666666666668,4,-0.030740790154323523,-0.15287183426754744,15.433693312751178,0.02436678349497108,-0.08894513029186833,24315.157100000004,41512.38650000002,-17197.2294,-0.024664166467651082,0.0020682924084947643,-0.0012796295205444001
1778046806045,24090.85,24100,-0.6666666666666666,24162.133463541668,6.80078125,-0.03389344601474901,-0.019617951215466143,15.433693312751178,0.02436678349497108,-0.08894513029186833,24315.157100000004,41512.38650000002,-17197.2294,-0.11036911082914087,-0.004402472231864912,-0.0014225785138007596
1778046821054,24088.85,24100,0,24162.599609375,3.19921875,-0.029581315564538985,0.0481019208657745,15.4327322070645,0.022063114014260275,-0.08357411675332478,24495.233749999996,41786.26854999999,-17291.0348,-0.2102022698474839,-0.0061696685987928,-0.0020797842875448723
1778046836470,24092.25,24100,0.14285714285714285,24164.59988839286,7.701171875,-0.012341417999309068,-0.031223124101534223,15.4327322070645,0.022063114014260275,-0.08357411675332478,24495.233749999996,41786.26854999999,-17291.0348,-0.015995264876631866,-0.004435130415640032,-0.0022156149342628276
1778046852297,24092.3,24100,0.3333333333333333,24165.333333333332,7.701171875,-0.021434579366579207,-0.09921237691130545,15.4327322070645,0.022063114014260275,-0.08357411675332478,24495.233749999996,41786.26854999999,-17291.0348,0.05013275938807936,-0.0043191461871145125,-0.00018705977094578212
1778046868143,24094.75,24100,0,24170,10,-0.011645403281382723,0.13420697332307813,15.4327322070645,0.022063114014260275,-0.08357411675332478,24495.233749999996,41786.26854999999,-17291.0348,-0.05607983469781354,-0.01366134330842384,0.00030348024168720374
1778046884135,24091.25,24100,0,24165.650390625,9.30078125,-0.02717135412413837,-0.05723578132762442,15.430406007992465,0.01952785849571484,-0.08615795673242309,24256.04674999999,41513.748900000006,-17257.702150000005,-0.20927797204795687,-0.01932483929780315,0.0011484827478204353
1778046901093,24088.4,24100,-0.7142857142857143,24162.98604910714,7.599609375,-0.03113194928866482,0.038374531334693804,15.430406007992465,0.01952785849571484,-0.08615795673242309,24256.04674999999,41513.748900000006,-17257.702150000005,-0.2075884400078055,-0.011819171953074348,-0.0028300475768075714
