symbol,year,month,quarter,open,high,low,close,percent_change,volume,trading_days,avg_daily_volume,up_days,down_days,unchanged_days,range,volatility,avg_true_range,avg_daily_range,highest_day,lowest_day,vpoc,vah,val
LLOYDSENT,2026,,2,42.9,80.24,42.35,73.82,72.07459207459208,272293374.0,60,4538222.9,31,28,0,37.88999999999999,0.5604545958805327,3.476666666666667,3.3728333333333333,2026-06-22T00:00:00+05:30,2026-04-01T00:00:00+05:30,69.82024999999999,78.7244,64.7051
MMTC,2026,,2,52.1,78.35,51.87,68.05,30.614203454894422,602817639.0,60,10046960.65,33,26,0,26.479999999999997,0.4039202227052587,2.9823333333333326,2.8825000000000003,2026-06-17T00:00:00+05:30,2026-04-02T00:00:00+05:30,66.8312,73.3188,62.7268
MOM30IETF,2026,,2,27.6,32.52,27.39,31.47,14.021739130434774,106586072.0,60,1776434.5333333334,29,29,1,5.130000000000003,0.16621306376360817,0.6126666666666662,0.5773333333333329,2026-06-25T00:00:00+05:30,2026-04-02T00:00:00+05:30,31.46835,31.853100000000005,30.5193
FCL,2026,,2,20.73,47.18,19.75,38.8,87.16835504100337,1351174410.0,60,22519573.5,34,25,0,27.43,0.8647540983606556,2.158166666666667,2.0623333333333336,2026-06-23T00:00:00+05:30,2026-04-01T00:00:00+05:30,33.60215,40.5968,25.5103
HDFCAMC,2026,,2,2285.0,2872.4,2241.2,2653.2,16.113785557986862,63662870.0,60,1061047.8333333333,33,26,0,631.2000000000003,0.23868481340144138,81.26833333333337,74.99000000000002,2026-05-08T00:00:00+05:30,2026-04-02T00:00:00+05:30,2761.94,2821.904,2544.176
ITCHOTELS,2026,,2,143.01,184.2,141.73,179.99,25.858331585203846,284186891.0,60,4736448.183333334,31,28,0,42.47,0.2674441670156393,4.8336666666666686,4.549000000000001,2026-06-23T00:00:00+05:30,2026-04-02T00:00:00+05:30,154.68335,167.212,149.7993
GREAVESCOT,2026,,2,125.9,222.9,125.01,219.98,74.72597299444001,98599958.0,60,1643332.6333333333,37,22,0,97.89,0.5651146075977866,7.523833333333332,7.2316666666666665,2026-06-30T00:00:00+05:30,2026-04-02T00:00:00+05:30,168.57105,207.2376,153.3981
SCI,2026,,2,228.0,368.75,220.32,305.3,33.90350877192983,676840040.0,60,11280667.333333334,33,26,0,148.43,0.49600032970894836,15.149166666666664,14.687833333333328,2026-05-11T00:00:00+05:30,2026-04-02T00:00:00+05:30,307.15155000000004,330.1582,290.08209999999997
PVTBANIETF,2026,,2,24.53,28.93,24.18,28.24,15.124337545862199,414789018.0,60,6913150.3,28,31,0,4.75,0.17661056441018272,0.5693333333333335,0.5426666666666667,2026-06-25T00:00:00+05:30,2026-04-02T00:00:00+05:30,28.19375,28.93,26.65
LUPIN,2026,,2,2346.0,2494.0,2170.1,2419.0,3.111679454390452,70908865.0,60,1181814.4166666667,29,30,0,323.9000000000001,0.14055658498270715,53.08166666666672,51.42166666666674,2026-05-07T00:00:00+05:30,2026-04-02T00:00:00+05:30,2272.1285,2341.767,2241.3579999999997
